Date,Album,Artist,Tags,Record_Label,Record_Label_Loc,Author,spotify_match_status,spotify_id,spotify_url,spotify_artist_id,spotify_match_artist,spotify_match_album,spotify_release_date,spotify_release_date_precision,spotify_album_type,spotify_total_tracks,spotify_image_url,spotify_upc,spotify_ean,spotify_copyright,spotify_artist_status,spotify_artist_image_url,spotify_artist_url
"August 31, 2017",Rainbow Edition,Hype Williams,Experimental,Independent Artist,"London, UK",Claire Lobenfeld,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 85834s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
"August 30, 2017",Every Country’s Sun,Mogwai,Alternative,Independent Artist,"Scotland, UK",Ron Hart,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 85833s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
"August 29, 2017",S/T,Rainer Maria,Alternative,Independent Artist,"Brooklyn, New York",Patrick Rapa,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 85833s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
"August 28, 2017",Safely Nobody’s,Tall Friend,Alternative,tall friend,"Boston, Massachusetts",Patrick Rapa,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 85833s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
"August 25, 2017",Exile in the Outer Ring,EMA,Experimental,Independent Artist,"Portland, Oregon",Zoë Beery,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 85833s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
"August 24, 2017",Beast Epic,Iron & Wine,Alternative,Iron &amp; Wine,North Carolina,Joe Gross,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 85832s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
"August 23, 2017",Yellow,Naomi Punk,Experimental,Naomi Punk (Captured Tracks),"Seattle, Washington",Sam Lefebvre,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 85832s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
"August 22, 2017",Sweet as Broken Dates,Various Artists,World,Ostinato Records,"New York, New York",John Morrison,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 85832s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
"August 21, 2017",Bop,Swarvy,Hip-Hop/Rap,Paxico Records,"Paxico, Kansas",Andrew Martin,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 85832s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
"August 18, 2017",Eyeball Under,Weeping Icon,Alternative,Independent Artist,New York,J. Edward Keyes,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 85832s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
"August 17, 2017",Pumpkin EP,Nemui PJ,Ambient,FLAU,"東京都, Japan",Andrew Martin,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 85831s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
"August 16, 2017",Devil Electric,Devil Electric,Metal,Independent Artist,"Melbourne, Australia",Jeff Treppel,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 85831s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
"August 15, 2017",Jen Cloher,Jen Cloher,Alternative,Independent Artist,"Melbourne, Australia",Doug Wallen,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 85831s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
"August 14, 2017",How We Lived,Heinali and Matt Finney,Ambient,Independent Artist,,Noah Berlatsky,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 85831s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
"August 11, 2017",A Piece of the Geto,ZGTO,Hip-Hop/Rap,Independent Artist,"Detroit, Michigan",Will Schube,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 85831s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
"August 10, 2017",Jean​-​Jacques Perrey et son Ondioline,Jean-Jacques Perrey,Electronic,Independent Artist,Switzerland,Allison Hussey,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 85830s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
"August 09, 2017",Perfect Body,Mermaidens,Alternative,Independent Artist,"Wellington, New Zealand",Nick Fulton,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 85830s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
"August 08, 2017",Kawaida,Mim Suleiman,Electronic,Independent Artist,"Sheffield, UK",Andy Beta,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 85830s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
"August 07, 2017",Girl Minority,Grim Streaker,Alternative,grim streaker,"Brooklyn, New York",Scott Murry,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 85830s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
"August 04, 2017",Earl Grey,Girl Ray,Pop,Independent Artist,"London, UK",Matt Voracek,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 85830s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
"August 03, 2017",Inside a Quiet Mind,Micronism,Electronic,micronism,"Ipswich, Australia",Su Baykal,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 85829s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
"August 02, 2017",Sounds of Crenshaw Vol. 1,Terrace Martin Presents The Pollyseeds,Experimental,Ropeadope Select,"Philadelphia, Pennsylvania",Jesse Fairfax,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 85829s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
"August 01, 2017",National Debt,TRPL BLK & DJ Prince,Hip-Hop/Rap,Mobile Kitchen Sound,"New York, New York",Richardine Bartee,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 85829s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
"July 31, 2017",Square One,Bjørn Torske & Prins Thomas,Electronic,Bjørn Torske &amp; Prins Thomas,Norway,Andy Battaglia,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 85829s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
"July 28, 2017",Across the Multiverse,Dent May,Pop,Independent Artist,"Los Angeles, California",Luke Ottenhof,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 85829s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
"July 27, 2017",Inspirations,Dwight Trible,Jazz,Independent Artist,"Los Angeles, California",Patrick Jarenwattananon,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 85828s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
"July 26, 2017",Dopp Hopp,The Doppelgangaz,Hip-Hop/Rap,Independent Artist,"New York, New York",Jay Balfour,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 85828s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
"July 25, 2017",3G,Dzang,Electronic,Independent Artist,"Los Angeles, California",Will Schube,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 85828s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
"July 21, 2017",Sh*tty Hits,Katie Von Schleicher,Alternative,Ba Da Bing Records,"Providence, Rhode Island",Ned Raggett,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 85828s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
"July 20, 2017",After…,Fhloston Paradigm,Electronic,Independent Artist,"Philadelphia, Pennsylvania",Michaelangelo Matos,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 85828s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
"July 19, 2017",Year of the Funky,Bei Bei & Shawn Lee,Electronic,Bei Bei &amp; Shawn Lee,"London, UK",Richard Gehr,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 85827s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
"July 18, 2017",Les Sourdes Oreilles,Cosmic Analog Ensemble,Funk,My Bags,"Messac, France",Marcus J. Moore,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 85827s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
"July 17, 2017",Locket,Crumb,Rock,Independent Artist,New York,Jonah Bromwich,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 85827s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
"July 14, 2017",Mister Mellow,Washed Out,Pop,Independent Artist,"Perry, Georgia",Andrew Martin,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 85827s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
"July 13, 2017",A Walk With Love & Death,Melvins,Rock,Independent Artist,,JR Moores,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 85827s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
"July 12, 2017",Youth Detention​ ​(​Nail My Feet Down To The Southside Of Town),Lee Bains III & The Glory Fires,Rock,Lee Bains + The Glory Fires,"Birmingham, Alabama",Jonathan Bernstein,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 85826s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
"July 11, 2017",Glitter & Blood,Sweeping Exits,Rock,Independent Artist,"Portland, Oregon",Luke Ottenhof,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 85826s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
"July 10, 2017",Boo Boo,Toro y Moi,Pop,Independent Artist,"Oakland, California",Max Savage Levenson,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 85826s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
"July 07, 2017",GT ULTRA,Guerilla Toss,Punk,Independent Artist,"New York, New York",Mo Wilson,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 85826s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
"July 06, 2017",The Boy Who Spoke to the Wind,Lando Chill,Hip-Hop/Rap,Independent Artist,"Los Angeles, California",Saby Reyes-Kulkarni,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 85825s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
"July 05, 2017",Known Unknowns,billy woods,Hip-Hop/Rap,Independent Artist,"New York, New York",Blake Gillespie,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 85825s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
"July 03, 2017",Chasing an Illusion,Larkin Grimm,Folk,Independent Artist,"New York, New York",Noah Berlatsky,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 85825s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
"June 30, 2017",Big Skies,Mere Women,Alternative,Independent Artist,"Sydney, Australia",Doug Wallen,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 85825s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
"June 29, 2017",Wintres Woma,James Elkington,Folk,Independent Artist,"Chicago, Illinois",Joe Darling,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 85825s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
"June 28, 2017",Puff,Bernice,Pop,bernice,"Toronto, Ontario",Erin Williams,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 85824s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
"June 27, 2017",Introducing the Crimsmen,The Peacers,Rock,Independent Artist,"San Francisco, California",Marc Masters,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 85824s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
"June 26, 2017",Some Twist,Michael Nau,Alternative,Independent Artist,Maryland,Casey Jarman,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 85824s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
"June 23, 2017",Dust,Laurel Halo,Electronic,Independent Artist,"Los Angeles, California",Joe Darling,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 85824s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
"June 22, 2017","Larry Grenadier, John Medeski & John Scofield, Hudson",Jack DeJohnette,Jazz,"Hudson (DeJohnette, Grenadier, Medeski &amp; Scofield)","New York, New York",Patrick Jarenwattananon,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 85824s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
"June 21, 2017",In Death,Svartsyn,Metal,Agonia Records,Poland,Noah Berlatsky,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 85823s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
"June 20, 2017",House and Land,House and Land,Folk,Independent Artist,"Asheville, North Carolina",Allison Hussey,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 85823s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
"June 19, 2017",Die Trommel Fatale,Brandon Seabrook,Experimental,Independent Artist,"Brooklyn, New York",Raymond Cummings,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 85823s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
"June 15, 2017",Soaked,Hot Flash Heat Wave,Alternative,Independent Artist,"Los Angeles, California",Steven Edelstone,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 85823s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
"June 14, 2017",The Fifth State of Consciousness,Peaking Lights,Ambient,Independent Artist,"Baywood Los Osos, California",Katy Henriksen,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 85822s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
"June 12, 2017",Attention Kmart Choppers,Juicy the Emissary,Hip-Hop/Rap,Independent Artist,Denton,Max Bell,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 85822s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
"June 09, 2017",Agent blå,Agent blå,Alternative,Agent Blå,"Gothenburg, Sweden",J. Edward Keyes,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 85822s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
"June 06, 2017",Freedom of Movement,Nina Miranda,World,Independent Artist,"London, UK",Amaya Garcia,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 85822s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
"June 05, 2017",A World of Masks,The Heliocentrics,,Independent Artist,"London, UK",Max Savage Levenson,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 85822s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
"June 02, 2017",Somersault,Beach Fossils,Alternative,Independent Artist,"Brooklyn, New York",John Morrison,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 85821s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
"June 01, 2017",Subordination,Institute,Punk,Independent Artist,"Austin, Texas",Sam Lefebvre,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 85821s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
"May 31, 2017",Modern Kosmology,Jane Weaver,Experimental,Independent Artist,"Liverpool, UK",Joe Darling,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 85821s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
"May 30, 2017",Fly or Die,Jaimie Branch,Jazz,International Anthem,"Chicago, Illinois",Marcus J. Moore,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 85821s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
"May 29, 2017",Move Upstairs,Como Mamas,R&amp;B/Soul,The Como Mamas,"Como, Mississippi",Max Savage Levenson,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 85821s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
"May 26, 2017",Best Woman,Vincent Ahehehinnou,World,Analog Africa,Germany,Dean Van Nguyen,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 85820s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
"May 25, 2017",Channelview,Curved Light,Electronic,Independent Artist,"Austin, Texas",Andrew Parks,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 85820s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
"May 24, 2017",Gently Among the Coals,Threefifty,Alternative,Independent Artist,"Brooklyn, New York",Stephen M. Deusner,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 85820s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
"May 23, 2017",Still Hungry,DJ Format & Abdominal,Hip-Hop/Rap,Abdominal,"Toronto, Ontario",Nate Patrin,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 85820s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
"May 22, 2017",Ultramega OK,Soundgarden,Alternative,Independent Artist,"Seattle, Washington",Brad Sanders,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 85820s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
"May 19, 2017",Death To The Planet,The Comet is Coming,Jazz,The Comet Is Coming,"London, UK",Marcus J. Moore,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 85819s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
"May 18, 2017","Saigon Supersound, Vol. 1",Various Artists,World,Saigon Supersound Compilations,"Frankfurt, Germany",Richard Gehr,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 85819s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
"May 17, 2017",Black Mountain Songs,Brooklyn Youth Chorus,Classical,Independent Artist,New York,Katy Henriksen,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 85819s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
"May 16, 2017",Best Troubador,Bonnie ‘Prince’ Billy,Country,Bonnie &quot;Prince&quot; Billy,"Louisville, Kentucky",Peter Margasak,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 85819s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
"May 15, 2017",Powerplant,Girlpool,Alternative,Independent Artist,"Los Angeles, California",Tess Duncan,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 85818s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
"May 12, 2017",Big Day,Loose Tooth,Alternative,Father/Daughter Records,"San Francisco, California",Casey Jarman,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 85818s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
"May 11, 2017",Vocês Querem Mate?,Piri,World,Independent Artist,Brazil,Joe Gross,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 85818s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
"May 10, 2017",II,Crooked Bangs,Punk,Nervous Intent Records,"Berkeley, California",Colin Atrophy Hagendorf,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 85818s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
"May 09, 2017",Sidelong,Sarah Shook & the Disarmers,Country,Sarah Shook &amp; the Disarmers,"Chapel Hill, North Carolina",Lee Zimmerman,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 85818s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
"May 08, 2017",This Old Dog,Mac DeMarco,Rock,Independent Artist,"Los Angeles, California",Eric R. Danton,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 85817s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
"May 05, 2017",Horse Follows Darkness,Delia Gonzalez,Electronic,Independent Artist,"Athens, Greece",J. Edward Keyes,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 85817s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
"May 04, 2017",Seen Comin’ From a Mighty Eye,Skyway Man,Rock,Independent Artist,"Oakland, California",Will Schube,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 85817s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
"May 03, 2017",Snow,The New Year,Alternative,Independent Artist,Texas,Annie Zaleski,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 85817s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
"May 02, 2017",Significant Weather,Real Life Buildings,Alternative,Independent Artist,"New York, New York",Cory Lomberg,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 85816s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
"May 01, 2017",Ice Pix,FIN,Pop,Hausu Mountain Records,"Chicago, Illinois",Noah Berlatsky,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 85816s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
"April 28, 2017",Silver Haze,Aye Nako,Alternative,Independent Artist,"New York, New York",J. Edward Keyes,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 85816s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
"April 26, 2017",Perfect Lavender,Furniteur,Pop,Independent Artist,"Washington, D.C.",Peter Lillis,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 85816s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
"April 25, 2017",Why El Paso Sky,VVV,Electronic,Holodeck Records,"Austin, Texas",Joe Darling,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 85815s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
"April 24, 2017",WYW,Wear Your Wounds,Alternative,Independent Artist,"Essex, Massachusetts",Andrew Parks,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 85815s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
"April 21, 2017",Oz Waves,Various Artists,Electronic,Efficient Space,"Melbourne, Australia",Doug Wallen,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 85815s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
"April 20, 2017",Return To The 37th Chamber,El Michels Affair,R&amp;B/Soul,Independent Artist,New York,Nate Patrin,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 85815s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
"April 18, 2017",A Hairshirt of Purpose,Pile,Rock,Independent Artist,,Matt Voracek,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 85815s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
"April 17, 2017",Friends Live #1,Band Practice & Catherine Cohen,Comedy,JMC Aggregate,"Queens, New York",Patrick Rapa,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 85814s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
"April 13, 2017",It’s a Myth,Sneaks,Punk,Independent Artist,"Washington, D.C.",JJ Skolnik,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 85814s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
"April 12, 2017",What If,Hauschka,Ambient,Independent Artist,"Düsseldorf, Germany",Ron Hart,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 85814s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
"April 11, 2017",Soul Run,Tanika Charles,R&amp;B/Soul,Independent Artist,Toronto,Max Savage Levenson,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 85814s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
"April 10, 2017",Imaginary Enemies,Hiccup,Punk,Independent Artist,"New York, New York",Jonathan Bernstein,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 85814s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
"April 07, 2017",Abysma,Geotic,Ambient,Independent Artist,"Los Angeles, California",Will Schube,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 85813s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
