Date,Album,Artist,Tags,Record_Label,Record_Label_Loc,Author
"October 24, 2018",Humble Pi,Homeboy Sandman & Edan,Hip-Hop/Rap,Homeboy Sandman &amp; Edan,"New York, New York",Nate Patrin
"October 23, 2018",Us,Empress Of,Pop,Independent Artist,"Brooklyn, New York",Amaya Garcia
"October 22, 2018",Broken Politics,Neneh Cherry,Pop,Independent Artist,Sweden,Joe Muggs
"October 19, 2018",Warzone,Yoko Ono,Alternative,Independent Artist,"New York, New York",Jordan Reyes
"October 18, 2018",happy little trees,Kenny Segal,Hip-Hop/Rap,Independent Artist,"Los Angeles, California",Blake Gillespie
"October 17, 2018",Revolution,Daniel Crawford,R&amp;B/Soul,Independent Artist,"Los Angeles, California",Chaka V. Grier
"October 16, 2018",Virus.DOS,Master Boot Record,Electronic,MASTER BOOT RECORD,"Rome, Italy",Andrew Parks
"October 15, 2018",Deal Thy Fate,Album Of The Day: Castle,Metal,Ripple Music,"San Ramon, California",Zoe Camp
"October 12, 2018",System,Trevor Jackson,Electronic,Independent Artist,"London, UK",Joe Muggs
"October 11, 2018",La Maison Noir,Petite Noir,Experimental,Independent Artist,"Cape Town, South Africa",Marcus J. Moore
"October 10, 2018",Autobiography,Jlin,Electronic,Independent Artist,"Gary, Indiana",Will Schube
"October 05, 2018",Helltown,Electric Citizen,Metal,Independent Artist,"Cincinnati, Ohio",Zachary Lipez
"October 04, 2018",Soft Hell,Pill,Alternative,Independent Artist,"New York, New York",Annie Zaleski
"October 03, 2018",For My Crimes,Marissa Nadler,Folk,Independent Artist,"Nashville, Tennessee",Dean Van Nguyen
"October 02, 2018",Moontribe,Moontribe,World,Fortuna Records,"Tel Aviv, Israel",Megan Iacobini de Fazio
"October 01, 2018",Future Bubblers 2.0,Various Artists,Electronic,Future Bubblers,"London, UK",Joe Muggs
"September 28, 2018",Low,Jansport J,Hip-Hop/Rap,Independent Artist,"Los Angeles, California",Jesse Fairfax
"September 27, 2018",Thunder Follows the Light,Mutual Benefit,Alternative,mutual benefit,"Brooklyn, New York",Allison Hussey
"September 26, 2018",Burnt Sugar,Gouge Away,Punk,Independent Artist,"Fort Lauderdale, Florida",Michael Siebert
"September 25, 2018",African Rhythms,Oneness of Juju,Funk,Independent Artist,"Richmond, Virginia",Dean Van Nguyen
"September 21, 2018",Shelley’s on Zenn-La,Oliver Coates,Electronic,Independent Artist,"Glasgow, UK",Adam Badí Donoval
"September 20, 2018",Further Still,Bosse-de-Nage,Metal,Independent Artist,NA,Michael Siebert
"September 19, 2018",This Behavior,ADULT.,Electronic,Independent Artist,"Detroit, Michigan",Daniel Dylan Wray
"September 18, 2018",Room 25,Noname,Hip-Hop/Rap,Independent Artist,"Chicago, Illinois",Marcus J. Moore
"September 17, 2018",Rockers From the Land of Reggae,I-Mo-Jah,Reggae,Pressure Sounds,"England, UK",J. Edward Keyes
"September 14, 2018",Find Us When U Get There,Scott Xylo,Funk,Independent Artist,"Leicester, UK",Martin Aston
"September 13, 2018",Dur-Dur of Somalia – Volume 1 & Volume 2,Dur-Dur Band,Funk,Analog Africa,Germany,Megan Iacobini de Fazio
"September 12, 2018",Render Another Ugly Method,Mothers,Rock,Independent Artist,"Philadelphia, Pennsylvania",Eric R. Danton
"September 11, 2018",Kingdoms in Colour,Maribou State,Electronic,Independent Artist,"London, UK",Amaya Garcia
"September 10, 2018",Events Score,Daniel Davies,Electronic,Independent Artist,"Los Angeles, California",Miles Bowe
"September 07, 2018",Magus,Thou,Metal,Independent Artist,"Baton Rouge, Louisiana",Ashley Naftule
"September 06, 2018",New Hymn to Freedom,Szun Waves,Jazz,Independent Artist,"London, UK",Dave Sumner
"September 05, 2018",Melondrama,Cale Sexton,Electronic,Independent Artist,"Melbourne, Australia",Miles Bowe
"September 04, 2018",I’m Reliving the End Over and Over and Over Again and Its Only the Beginning,Risa Rubin,Alternative,Independent Artist,"Chicago, Illinois",Mariana Timony
"August 31, 2018",Joy As An Act of Resistance.,Idles,Punk,IDLES,"Bristol, UK",Fergal Kenney
"August 30, 2018",Only Self,Jesus Piece,Punk,Independent Artist,"Philadelphia, Pennsylvania",Michael Siebert
"August 29, 2018",Energy Dreams,Rejoicer,Electronic,Independent Artist,"Los Angeles, California",Nate Patrin
"August 28, 2018",Tangerine Reef,Animal Collective,Alternative,Independent Artist,"Baltimore, Maryland",Sam Goldner
"August 27, 2018",Nobody’s Watching,Steady Holiday,Alternative,Independent Artist,"Los Angeles, California",Max Savage Levenson
"August 23, 2018",Limpid Fear [清澈恐惧],bod [包家巷],Electronic,Independent Artist,"Berlin, Germany",Sam Goldner
"August 22, 2018",Nostrum Grocers,Nostrum Grocers,Hip-Hop/Rap,Independent Artist,"New York, New York",Paul Thompson
"August 21, 2018",Thank You For Today,Death Cab for Cutie,Alternative,Independent Artist,"Seattle, Washington",Candace McDuffie
"August 20, 2018",Slide,George Clanton,Electronic,Independent Artist,"Los Angeles, California",David Glickman
"August 17, 2018",Be the Cowboy,Mitski,Alternative,Independent Artist,"New York, New York",Ally-Jane Grossan
"August 16, 2018",Clear Tamei/Steel Mogu,Iglooghost,Electronic,Independent Artist,UK,Joe Muggs
"August 15, 2018",Bloom,Somni,Experimental,Independent Artist,"Los Angeles, California",Blake Gillespie
"August 14, 2018",Deep in the Big,Rabbit Island,Alternative,Independent Artist,"Perth, Australia",Doug Wallen
"August 13, 2018",Protean Labyrinth,Kyoko Kitamura,Jazz,Independent Artist,"Brooklyn, New York",Seth Colter Walls
"August 10, 2018",Suffuse,Roy Montgomery,Ambient,Ba Da Bing Records,"Providence, Rhode Island",Daniel Dylan Wray
"August 09, 2018",Future Me Hates Me,The Beths,Alternative,Independent Artist,"Auckland, New Zealand",Max Savage Levenson
"August 08, 2018",Our Garden Needs Its Flowers,Jess Sah Bi & Peter One,Folk,Jess Sah Bi &amp; Peter One,NA,Dean Van Nguyen
"August 07, 2018",Catching a Body,Hprizm,Hip-Hop/Rap,Independent Artist,"New York, New York",Nate Patrin
"August 06, 2018",Maroon Cloud,Nicole Mitchell,Jazz,Nicole M Mitchell,North Carolina,Peter Margasak
"August 03, 2018",Bell House,Shy Boys,Alternative,Independent Artist,"Kansas City, Missouri",Annie Howard
"August 02, 2018",Dissolvi,Steve Hauschildt,Electronic,Independent Artist,"Tbilisi, Georgia",Andrew Parks
"August 01, 2018",Michael Nau & the Mighty Thread,Michael Nau & the Mighty Thread,Alternative,Michael Nau,Maryland,Will Schube
"July 31, 2018",Before the Day Has Gone,Bellini,Alternative,Independent Artist,"Sizilien, Italy",Brad Cohan
"July 30, 2018",Touch Dissolves,Aaron Martin,Jazz,IIKKI,"Brittany, France",Dave Sumner
"July 27, 2018",At Your Leisure,Clearance,Rock,Independent Artist,"Chicago, Illinois",Mariana Timony
"July 26, 2018",Little Ugly Girls,Little Ugly Girls,Alternative,Independent Artist,"Melbourne, Australia",Doug Wallen
"July 25, 2018",Sundays,Tanukichan,Alternative,Independent Artist,"Oakland, California",Max Mohenu
"July 24, 2018",Lithium Zion,Deaf Wish,Alternative,Independent Artist,"Melbourne, Australia",Joe Gross
"July 23, 2018",Ogre Heights,Mondo Lava,Electronic,Independent Artist,"Pamplona, Spain",Amaya Garcia
"July 19, 2018",Nose Picker,Negative Scanner,Alternative,Independent Artist,"Chicago, Illinois",Luke Ottenhof
"July 18, 2018",Ordinary Corrupt Human Love,Deafheaven,Metal,Independent Artist,San Francisco,Jon Wiederhorn
"July 17, 2018",Here From Where We Are,Pariah,Ambient,Independent Artist,UK,Joe Muggs
"July 16, 2018",The Switch,Body/Head,Alternative,Independent Artist,"Northampton, Massachusetts",Daniel Dylan Wray
"July 13, 2018",Endless Scroll,BODEGA,Alternative,Independent Artist,"New York, New York",Max Freedman
"July 12, 2018",Disambiguation,Cruel Diagonals,Ambient,Independent Artist,"Los Angeles, California",Raymond Cummings
"July 11, 2018",Capricho del Diablo,San Cha,Latin,Independent Artist,"Los Angeles, California",Catalina Maria Johnson
"July 10, 2018",1+1=X,Various Artists,Experimental,Erased Tapes,"London, UK",Erin Lyndal Martin
"July 09, 2018",Black Hole Party,Thousand Foot Whale Claw,Electronic,Independent Artist,"Austin, Texas",Andrew Parks
"July 06, 2018",No Trail and Other Unholy Paths,Jaye Jayle,Alternative,Independent Artist,"Louisville, Kentucky",Annie Zaleski
"July 05, 2018",How Many Times Have You Driven By,hana vu,Alternative,Independent Artist,"Los Angeles, California",Max Savage Levenson
"July 03, 2018",Byen,Bjørn Torske,Electronic,Independent Artist,Norway,David Garber
"June 29, 2018",Desolation,Khemmis,Metal,20 Buck Spin,"Pittsburgh, Pennsylvania",Sarah Kitteringham
"June 28, 2018",Ikhlas,FAUXE,Electronic,CHINABOT,"London, UK",Karen Gwee
"June 27, 2018",Divine Weight,Alex Zhang Hungtai,Ambient,Independent Artist,"New York, New York",Tristan Bath
"June 26, 2018",Voids,Martyn,Electronic,Independent Artist,"Washington, D.C.",Marcus J. Moore
"June 25, 2018",Roach Goin’ Down,Palberta,Alternative,Independent Artist,"New York, New York",Sasha Geffen
"June 22, 2018",Alive In the East?,Binker & Moses,Jazz,Binker and Moses,"London, UK",Andy Thomas
"June 21, 2018",Cloud Corner,Marisa Anderson,Folk,Independent Artist,"Portland, Oregon",Robert Ham
"June 20, 2018",Maghreb United,AMMAR 808,Electronic,Independent Artist,NA,Amaya Garcia
"June 19, 2018","¡Súbelo, Cuba!",Havana Cultura,Electronic,Independent Artist,"London, UK",David Garber
"June 18, 2018",Listen All Around: The Golden Age of Central and East African Music,Dust-to-Digital,,Independent Artist,"Atlanta, Georgia",Peter Holslin
"June 15, 2018",Bon Voyage,Melody’s Echo Chamber,Experimental,Melody&#39;s Echo Chamber,"Paris, France",Amaya Garcia
"June 14, 2018",Cinereous Incarnate,Abstracter,Metal,Independent Artist,"Oakland, California",Jordan Reyes
"June 13, 2018",Happysad,Kiefer,Hip-Hop/Rap,Independent Artist,"Los Angeles, California",Will Schube
"June 12, 2018",Colt,Hilary Woods,Ambient,Independent Artist,NA,Amaya Garcia
"June 11, 2018",Fades,Cheer-Accident,Experimental,Independent Artist,"Chicago, Illinois",Brad Cohan
"June 08, 2018",Childqueen,Kadhja Bonet,R&amp;B/Soul,Independent Artist,"Toronto, Ontario",Briana Younger
"June 07, 2018",Free For All,Sami Baha,Electronic,Independent Artist,"Istanbul, Turkey",Sam Goldner
"June 06, 2018",Black Soap,MIKE,Hip-Hop/Rap,Independent Artist,"New York, New York",Christina Lee
"June 05, 2018",Pink Noise,Echo Ladies,Pop,Independent Artist,"Malmö, Sweden",Amaya Garcia
"June 04, 2018",Hell-On,Neko Case,Alternative,Independent Artist,"Seattle, Washington",Max Savage Levenson
"June 01, 2018",Gentle Leader,Peach Kelli Pop,,Independent Artist,"Long Beach, California",Mariana Timony
"May 31, 2018",Astral Projection,ASC,Electronic,Independent Artist,"Del Mar, California",Joe Muggs
"May 30, 2018",Fear of a Brown Planet,Brownout,Funk,Fat Beats Records,"Los Angeles, California",Nate Patrin
"May 29, 2018",The Long Sleep,Jenny Hval,Experimental,Independent Artist,"Oslo, Norway",Joe Bucciero
"May 25, 2018",Sink,Sudan Archives,Experimental,Independent Artist,"Los Angeles, California",Jay Balfour
"May 24, 2018",Argonauta,Aisha Burns,Folk,Independent Artist,Massachusetts,Max Savage Levenson
"May 23, 2018",Tell Me How You Really Feel,Courtney Barnett,Alternative,courtney barnett,"Melbourne, Australia",Aly Comingore
"May 22, 2018",Mating Surfaces,Lithics,Punk,L I T H I C S,"Portland, Oregon",Kerry Cardoza
"May 21, 2018",Sacrifices,Prefuse 73,Electronic,Independent Artist,"New York, New York",Will Schube
"May 18, 2018",Happy Ending,Wax Idols,Alternative,Independent Artist,California,Ned Raggett
"May 17, 2018",Savagery,Skinless,Metal,Independent Artist,"Moreau, New York",Zoe Camp
"May 16, 2018",Location,The Contemporary Jazz Quintet,Jazz,Independent Artist,NA,Michael J. West
"May 15, 2018","I Have Fought Against It, But I Can’t Any Longer",The Body,Metal,the body,"Portland, Oregon",Joe Bucciero
"May 14, 2018",7,Beach House,Alternative,Independent Artist,"Baltimore, Maryland",Max Freedman
"May 11, 2018",DNA Feelings,Aïsha Devi,Electronic,Aisha Devi,Switzerland,Philip Sherburne
"May 10, 2018",Quieter,Carla Bozulich,Experimental,Carla Bozulich / Evangelista,"Los Angeles, California",JJ Skolnik
"May 09, 2018",Singularity,Jon Hopkins,Electronic,Independent Artist,"London, UK",Amaya Garcia
"May 08, 2018",Exit Future Heart,Dustin Wong + Takako Minekawa + Good Willsmith,Electronic,Umor Rex,"Mexico City, Mexico",Joe Muggs
"May 07, 2018",Blue Poles,Jack Ladder & the Dreamlanders,Alternative,Jack Ladder &amp; The Dreamlanders,"Sydney, Australia",Ned Raggett
"May 03, 2018",Sekyra prohnaná kolenem,Nikander,Metal,Independent Artist,"Brno, Czech Republic",Jacopo Sanna
"May 02, 2018",Miro Tape,Duppy Gun Productions,Reggae,DUPPY GUN,"Los Angeles, California",Joe Muggs
"May 01, 2018",Rejuvenate,Paul White,Experimental,Independent Artist,"London, UK",Marcus J. Moore
"April 30, 2018",Vive la Void,Vive la Void,Electronic,Independent Artist,"Portland, Oregon",Sasha Geffen
"April 27, 2018",Grid of Points,Grouper,Ambient,Independent Artist,NA,Brian Coney
"April 26, 2018",self-titled (aka Spray Bottle),Ruby Karinto,Punk,Independent Artist,"Victoria, British Columbia",Jordan Reyes
"April 25, 2018",Endless Light,Space Ghost,Hip-Hop/Rap,Independent Artist,"Oakland, California",Max Bell
"April 23, 2018",Hollow of the Void,Petrification,Metal,Sentient Ruin Laboratories,"Oakland, California",Ed Blair
"April 20, 2018",Direct Memory Access,MASTER BOOT RECORD,Metal,Independent Artist,"Rome, Italy",Casey Jarman
"April 19, 2018",Stars Wept To the Sea,Unreqvited,Metal,Avantgarde Music,Italy,Sarah Kitteringham
"April 18, 2018",Kudu,Anteloper,Jazz,International Anthem,"Chicago, Illinois",Joe Bucciero
"April 17, 2018",Now That’s What I Call Trax! Volume 1,Various Artists,Electronic,TRAX Records,"Chicago, Illinois",Amaya Garcia
"April 16, 2018",Odd Talk,Ganser,Alternative,Independent Artist,"Chicago, Illinois",Will Schube
"April 13, 2018",Feel Great,WRONG,Metal,Wrong,"Miami, Florida",Sarah Kitteringham
"April 12, 2018",The Recognitions,Exitmusic,Electronic,Independent Artist,New York,Laura Studarus
"April 11, 2018",Grum Vol. 1,Rawkid,Hip-Hop/Rap,Independent Artist,"Sheffield, UK",Will Schube
"April 10, 2018",Sun Go Nova,Denmark Vessey,Hip-Hop/Rap,Independent Artist,"Detroit, Michigan",Max Savage Levenson
"April 09, 2018","The Louder I Call, The Faster It Runs",Wye Oak,Alternative,Independent Artist,"Baltimore, Maryland",Max Savage Levenson
"April 06, 2018",Sex & Food,Unknown Mortal Orchestra,Rock,Independent Artist,"Portland, Oregon",Eric R. Danton
"April 05, 2018",Rafiq Bhatia Breaking English,Rafiq Bhatia,Electronic,Independent Artist,New York,Laura Studarus
"April 04, 2018",You Fucken Sucker,Paul de Jong,Experimental,Independent Artist,"North Adams, Massachusetts",Amaya Garcia
"April 03, 2018",Ill Considered 3,Ill Considered,Jazz,Independent Artist,"London, UK",Andy Thomas
"April 02, 2018",Adrian Younge Presents: Voices of Gemma,Adrian Younge,R&amp;B/Soul,Independent Artist,"Los Angeles, California",Will Schube
"March 30, 2018",Dirt,Yamantaka//Sonic Titan,Experimental,Independent Artist,"Toronto, Ontario",Max Mertens
"March 29, 2018",Jean Grae and Quelle Chris Take Society to Task,On “Everything’s Fine,Hip-Hop/Rap,Quelle Chris,"Detroit, Michigan",Marcus J. Moore
"March 28, 2018",Run Deep,Deva Mahal,Pop,Independent Artist,"Wellington, New Zealand",Will Schube
"March 27, 2018",Net,Sandra Bell,Alternative,Drawing Room Records,"New York, New York",Robert Ham
"March 26, 2018",Code Girl,Mary Halvorson,Jazz,Independent Artist,"New York, New York",Peter Margasak
"March 23, 2018",Possessor,GosT,Electronic,Gost,"hell, Michigan",Andrew Parks
"March 22, 2018",Synthetic Core 88,Equip,Electronic,Independent Artist,"Chicago, Illinois",Simon Chandler
"March 21, 2018",Polygondwanaland,King Gizzard & The Lizard Wizard,Rock,Only Lovers Records,France,John Morrison
"March 20, 2018",Now Only,Album of  the Day: Mount Eerie,Alternative,Mount Eerie,"Anacortes, Washington",Jordan Reyes
"March 19, 2018",The Incubus of Karma,Mournful Congregation,Metal,20 Buck Spin,"Pittsburgh, Pennsylvania",J. Bennett
"March 16, 2018",Blueprint,Alice Bag,Alternative,Independent Artist,"Mexico City, Mexico",Annie Zaleski
"March 15, 2018",New Path,Essaie Pas,Electronic,Independent Artist,"Montréal, Québec",Amaya Garcia
"March 14, 2018",129 Dreamless GMG,Erica Eso,Alternative,Independent Artist,"Kingston, New York",Will Schube
"March 13, 2018",Of Abstract Dreams,Sun Ra,Jazz,Sun Ra Arkestra,Alabama,Marcus J. Moore
"March 12, 2018",Jericho Sirens,Hot Snakes,,Independent Artist,"San Diego, California",Jeff Terich
"March 09, 2018",Hunchin’ All Night,Hunee,Electronic,Rush Hour Music,"Amsterdam, Netherlands",David Garber
"March 08, 2018",Spiritual Jazz 8: Japan Pt. 1,Various Artists,Jazz,Spiritual Jazz,"London, UK",Ben Grenrock
"March 07, 2018",Verdancy,David Garland,Experimental,Independent Artist,"New York, New York",Jim Allen
"March 05, 2018",Who Are You,E Ruscha V,Electronic,Secret Circuit,"Los Angeles, California",Joe Darling
"March 02, 2018",How to Socialise & Make Friends,Camp Cope,Rock,CAMP COPE,"Melbourne, Australia",Ally-Jane Grossan
"March 01, 2018",The Hill Temple,Hex,Alternative,HEX,"Wellington, New Zealand",Isabelle Tolhurst
"February 27, 2018",Temet,Imarhan,World,Independent Artist,"Tamanrasset, Algeria",Noah Berlatsky
"February 26, 2018",The Biophonic Boombox Recordings,Nightcrawlers,Electronic,The Nightcrawlers,"Philadelphia, Pennsylvania",Simon Chandler
"February 23, 2018",J​-​Jazz: Deep Modern Jazz from Japan 1969​-​1984,Various Artists,Jazz,BBE,"London, UK",Patrick Jarenwattananon
"February 22, 2018",Pasar De Las Luces,Album of the day: Mint Field,Alternative,Mint Field,"Mexico City, Mexico",Daniel Dylan Wray
"February 21, 2018",Sunder,Nathan Fake,Electronic,Independent Artist,"England, UK",Amaya Garcia
"February 20, 2018",The Strife of Love in A Dream,Miracle,Electronic,Independent Artist,UK,Andrew Parks
"February 16, 2018",Twin Fantasy,Car Seat Headrest,Alternative,Independent Artist,NA,J. Edward Keyes
"February 15, 2018","Quare Groove, Vol. 1",Various Artists,Electronic,Allchival,"Dublin, Ireland",Philip Sherburne
"February 14, 2018",The Optimist,Ryan Porter,Jazz,World Galaxy Records,"Los Angeles, California",Marcus J. Moore
"February 13, 2018",Homowo,Basa Basa,,Independent Artist,"Accra, Ghana",Jonathan Bernstein
"February 12, 2018",Candy Valley,Bigott,,Independent Artist,Spain,Casey Jarman
"February 09, 2018",Slow Sundown,Holy Motors,Alternative,Independent Artist,"Tallinn, Estonia",Annie Zaleski
"February 08, 2018",Esperanto,Victor Assis Brasil,Jazz,Independent Artist,Brazil,Casey Jarman
"February 07, 2018",We Out Here,Various Artists,Jazz,We Out Here,"London, UK",Phillip Mlynar
"February 06, 2018",Ere,Storm{O},Punk,STORMO,Italy,Jacopo Sanna
"February 05, 2018",La Contra Ola,Various Artists,Electronic,Les Disques Bongo Joe,"Geneva, Switzerland",Casey Jarman
"February 02, 2018",Whatever It Takes,James Hunter,R&amp;B/Soul,James Hunter Six,"England, UK",Jim Allen
"February 01, 2018",Hilja,Cucina Povera,Electronic,Independent Artist,"Helsinki, Finland",Amaya Garcia
"January 31, 2018",ION,Portal,Metal,Profound Lore Records,"Kitchener, Ontario",Joe Bucciero
"January 30, 2018",Freedom’s Goblin,Ty Segall,Alternative,Independent Artist,"Los Angeles, California",Jonathan Bernstein
"January 29, 2018",All These Worlds Are Yours,HOLY,Alternative,Independent Artist,"Stockholm, Sweden",Ned Raggett
"January 26, 2018",This is Glue,Salad Boys,Alternative,Independent Artist,"Christchurch, New Zealand",J. Edward Keyes
"January 25, 2018",Snares Like A Haircut,No Age,Alternative,Independent Artist,"Los Angeles, California",Jordan Reyes
"January 24, 2018",Sunspots,Jeff Snyder,Experimental,Independent Artist,"Princeton, New Jersey",Raymond Cummings
"January 23, 2018",Voice Hardcore,Phew,Electronic,Independent Artist,"Tokyo, Japan",Patrick St. Michel
"January 19, 2018",The House,Porches,Pop,Independent Artist,"New York, New York",Joe Darling
"January 18, 2018",Támsins Likam,Hamferð,Metal,Independent Artist,Faroe Islands,Saby Reyes-Kulkarni
"January 17, 2018",The Miracles of the Seven Dances,Hany Mehanna,Experimental,Hany Mehanna - هاني مهنى,"Cairo, Egypt",Casey Jarman
"January 16, 2018",Spencer for Hire,Vic Spencer & Sonny Jim,Hip-Hop/Rap,Daupe,"London, UK",Will Schube
"January 12, 2018",Songs of Praise,Shame,Alternative,shame,"England, UK",Will Schube
"January 11, 2018",Unearth,Album of  the Day: Crater,Alternative,Crater,"Seattle, Washington",J. Edward Keyes
"January 10, 2018",33 33,NPVR,Experimental,Independent Artist,"London, UK",Joe Darling
"January 09, 2018",Offerings,Typhoon,Rock,TYPHOON,"Portland, Oregon",Katrina Nattress
"January 08, 2018",Savage Exile,Azar Swan,Electronic,aufnahme + wiedergabe,"Berlin, Germany",Ned Raggett
"January 05, 2018",Somewhere Else,Profligate,Electronic,Independent Artist,"Cleveland, Ohio",Jordan Reyes
"January 04, 2018","Detroit, MI 1997 – 2001",Heathered Pearls,Electronic,Independent Artist,"Brooklyn, New York",Andrew Parks
"January 03, 2018",Habibi Funk 007: An eclectic selection of music from the Arab world,Various Artists,Funk,Habibi Funk Records,"Berlin, Germany",Andy Thomas
"December 22, 2017",Laughing at the System,Total Control,Alternative,A  L  T  E  R,"London, UK",J. Edward Keyes
"December 21, 2017",Weighing of the Heart,Nabihah Iqbal,Alternative,Independent Artist,"London, UK",J. Edward Keyes
"December 20, 2017",Blush,Blush,Rock,Independent Artist,"Brooklyn, New York",Mariana Timony
"December 19, 2017",When Daffi Attacks,Jeremiah Jae,Hip-Hop/Rap,Black Jungle Squad,"Chicago, Illinois",Marcus J. Moore
"December 18, 2017",Forever Beast,Filthy Huns,Electronic,Independent Artist,"Los Angeles, California",J. Edward Keyes
"December 15, 2017",Loss Memory,Coma Cinema,Alternative,Independent Artist,South Carolina,Eli Enis
"December 14, 2017",The Crowning Quietus,Inconcessus Lux Lucis,Metal,Independent Artist,"Manchester, UK",Brad Sanders
"December 13, 2017",Amp Dog Knights,Amp Fiddler,Electronic,Independent Artist,"Detroit, Michigan",Andrew Parks
"December 12, 2017",Hesaitix,M.E.S.H.,Electronic,Hesaitix / M.E.S.H.,NA,Chris Kelly
"December 11, 2017",Mental Hoop,His Electro Blue Voice,,IRON LUNG Records,"Seattle, Washington",JJ Skolnik
"December 08, 2017",Eghass Malan,Les Filles de Illighadad,World,Independent Artist,"Abalak, Niger",Ana Gavrilovska
"December 07, 2017",Mechanics Of Dominion,Esmerine,Experimental,Independent Artist,"Montreal, Québec",JR Moores
"December 06, 2017",All Belief is Paradise,Fits,Pop,Independent Artist,"Brooklyn, New York",Eli Enis
"December 05, 2017",Exposure & Response,Mo Troper,Alternative,Independent Artist,"Portland, Oregon",Eli Enis
"December 04, 2017",In Case You Don’t Know What To Play,Damiano von Erckert,Electronic,AVA. RECORDS,"Berlin, Germany",David Garber
"December 01, 2017",Every Eye,Ivan Ave,Hip-Hop/Rap,Jakarta Records,"Berlin, Germany",Jesse Fairfax
"November 30, 2017",Wild Pitch: The Story,DJ Pierre,Electronic,Get Physical Music,"Berlin, Germany",Joe Darling
"November 29, 2017",FILM,Qasim Naqvi,Ambient,Independent Artist,New York,Katy Henriksen
"November 28, 2017",Arpo,Call Super,Ambient,Independent Artist,"London, UK",Ammar Kalia
"November 27, 2017",El Pulpo,John Davis & the Cicadas,Alternative,John Davis &amp; The Cicadas,"Durham, North Carolina",Corbie Hill
"November 22, 2017","First Show, Acoustic at The Pacer House, Bellingham WA 11/22/97",Death Cab for Cutie,Alternative,Independent Artist,"Seattle, Washington",J. Edward Keyes
"November 21, 2017",Permo,Spinning Coin,Pop,Independent Artist,"Glasgow, UK",Maria Sherman
"November 20, 2017",Nordkarpatenland,Malokarpatan,Metal,Invictus Productions,"Dublin, Ireland",Zachary Goldsmith
"November 17, 2017",Musik,William Eggleston,Experimental,Independent Artist,"Memphis, Tennessee",Raymond Cummings
"November 16, 2017",Free of Form,Sarah Elizabeth Charles,Jazz,Independent Artist,"New York, New York",Noah Berlatsky
"November 15, 2017",Ascending A Mountain Of Heavy Light,The Body & Full Of Hell,Metal,Full of Hell,"Ocean City, Maryland",JR Moores
"November 14, 2017",Soul of a Woman,Sharon Jones & the Dap-Kings,R&amp;B/Soul,Sharon Jones &amp; The Dap-Kings,"Brooklyn, New York",Max Savage Levenson
"November 13, 2017",Dissolve,Tusks,Pop,Independent Artist,"London, UK",Katrina Nattress
"November 10, 2017",Immersion Trench Reverie,Yellow Eyes,Metal,Independent Artist,"New York, New York",Brad Sanders
"November 09, 2017",Noir et Blanc,Zazou Bikaye CY1,Electronic,Zazou Bikaye,"Paris, France",Noah Berlatsky
"November 08, 2017",Trans-Millenia Music,Pauline Anna Strom,Ambient,Independent Artist,"San Francisco, California",Andy Beta
"November 07, 2017",Won,Lina Tullgren,Alternative,Independent Artist,"Los Angeles, California",Andrew Parks
"November 06, 2017",The Centre Cannot Hold,Ben Frost,Experimental,Independent Artist,NA,Andrew Parks
"November 03, 2017",Sterilize,Unsane,Metal,Independent Artist,"New York, New York",JR Moores
"November 02, 2017",Letters Never Read,Dori Freeman,Country,Independent Artist,"Galax, Virginia",Jonathan Bernstein
"November 01, 2017",Highly Rare,Makaya McCraven,Jazz,International Anthem,"Chicago, Illinois",Tina Edwards
"October 31, 2017","A flame my love, a frequency",Colleen,Experimental,Independent Artist,"Barcelona, Spain",Liz Pelly
"October 27, 2017",Offering,Cults,Alternative,Independent Artist,New York,Max Savage Levenson
"October 25, 2017",Losing,Bully,Alternative,Independent Artist,"Nashville, Tennessee",Aly Comingore
"October 24, 2017",dd elle,dd elle,Electronic,Independent Artist,New Jersey,Jake Hulyer
"October 23, 2017",Luciferian Towers,Godspeed You! Black Emperor,Rock,Independent Artist,"Montreal, Québec",Will Schube
"October 20, 2017",L.A. Witch,L.A. Witch,Punk,L.A. WITCH,"Los Angeles, California",Jonathan Bernstein
"October 19, 2017",Eyes to the Light,The Effects,Alternative,the EFFECTS,"Washington, D.C.",Joe Gross
"October 18, 2017",Thirty Days of Yes,Various Artists,Alternative,Thirty Days of Yes,Australia,J. Edward Keyes
"October 17, 2017",Lune Rouge,TOKiMONSTA,Electronic,Independent Artist,"Los Angeles, California",Ian Hsieh
"October 16, 2017",Nothing Valley,Melkbelly,Alternative,Independent Artist,"Chicago, Illinois",Aly Comingore
"October 13, 2017",Alone,Diron Animal,Electronic,Independent Artist,Portugal,Noah Berlatsky
"October 12, 2017",Survival Pop,Worriers,Punk,Independent Artist,"Brooklyn, New York",Luke Ottenhof
"October 11, 2017",Wide Open,Weaves,Rock,Independent Artist,"Toronto, Ontario",Jonathan Bernstein
"October 09, 2017",Playing House,Common Holly,Alternative,Independent Artist,"Montreal, Québec",Amaya Garcia
"October 06, 2017",Joli Mai,Daphni,Electronic,Caribou,"London, UK",Andy Battaglia
"October 05, 2017",Contravveleno,Havah,Punk,Maple Death Records,"Bologna, Italy",JJ Skolnik
"October 04, 2017",Endgame of the Anthropocene,Talibam!,,Independent Artist,"New York, New York",Raymond Cummings
